OrderID,OrderDate,Region,CustomerType,Category,Product,Quantity,UnitPrice,Discount,Returned,GrossSales,DiscountAmount,NetSales,UnitCost,COGS,GrossProfit,OperatingExpenses,NetProfit
1001,2024-05-01,East,Corporate,Technology,Wireless Mouse,4.0,25.5,0.0,No,102.0,0.0,102.0,15.299999999999999,61.199999999999996,40.800000000000004,15.299999999999999,25.500000000000007
1002,2024-06-01,West,Consumer,Office Supplies,Mechanical Pencil Set,10.0,8.0,0.1,No,80.0,8.0,72.0,4.8,48.0,24.0,10.799999999999999,13.200000000000001
1003,2024-07-01,Central,Home Office,Furniture,Ergonomic Chair,1.0,250.0,0.05,No,250.0,12.5,237.5,150.0,150.0,87.5,35.625,51.875
1004,2024-08-01,South,Consumer,Technology,Bluetooth Speaker,2.0,45.0,0.0,Yes,90.0,0.0,90.0,27.0,54.0,36.0,13.5,22.5
1005,2024-09-01,East,Corporate,Office Supplies,Gel Pens 12-Pack,5.0,12.0,0.0,No,60.0,0.0,60.0,7.199999999999999,36.0,24.0,9.0,15.0
1007,2024-11-01,Central,Corporate,Technology,Usb-C Hub,3.0,35.0,0.0,No,105.0,0.0,105.0,21.0,63.0,42.0,15.75,26.25
1008,2024-12-01,South,Home Office,Office Supplies,Notebook Binder,8.0,5.5,0.0,No,44.0,0.0,44.0,3.3,26.4,17.6,6.6,11.000000000000002
1009,2024-01-13,East,Consumer,Technology,4K Monitor,1.0,320.0,0.1,No,320.0,32.0,288.0,192.0,192.0,96.0,43.199999999999996,52.800000000000004
1010,2024-01-14,West,Corporate,Furniture,Desk Lamp,2.0,28.0,0.0,No,56.0,0.0,56.0,16.8,33.6,22.4,8.4,13.999999999999998
1011,2024-01-15,Central,Consumer,Office Supplies,Stapler Heavy Duty,1.0,18.5,0.0,No,18.5,0.0,18.5,11.1,11.1,7.4,2.775,4.625
1012,2024-01-16,South,Home Office,Technology,Webcam 1080P,2.0,60.0,0.05,Yes,120.0,6.0,114.0,36.0,72.0,42.0,17.099999999999998,24.900000000000002
1013,2024-01-17,East,Consumer,Furniture,Bookshelf 4-Tier,1.0,110.0,0.0,No,110.0,0.0,110.0,66.0,66.0,44.0,16.5,27.5
1014,2024-01-18,West,Corporate,Office Supplies,Paper Ream A4,2.0,6.5,0.1,No,13.0,1.3,11.7,3.9,7.8,3.8999999999999995,1.755,2.1449999999999996
1015,2024-01-19,Central,Consumer,Technology,Noise-Cancel Headphones,1.0,199.99,0.0,No,199.99,0.0,199.99,119.994,119.994,79.99600000000001,29.9985,49.99750000000001
1017,2024-01-21,East,Home Office,Office Supplies,Sticky Notes Pack,2.0,3.2,0.0,No,6.4,0.0,6.4,1.92,3.84,2.5600000000000005,0.96,1.6000000000000005
1018,2024-01-22,West,Consumer,Technology,External Ssd 1Tb,2.0,110.0,0.05,No,220.0,11.0,209.0,66.0,132.0,77.0,31.349999999999998,45.650000000000006
